time,text,video_url
0,Basics of money: Basics of Money,https://multiply.org.in/en/guide/basics-of-money/introduction-to-basics-of-money/
0,Basics of money: Introduction to History of Money,https://multiply.org.in/en/guide/introduction-to-history-of-money/history-of-money/
0,Basics of money: Factors that Influence the Value of Money,https://multiply.org.in/en/guide/factors-that-influence-the-value-of-money/factors-that-influence-the-value-of-money/
0,Saving: Introduction to Saving,https://multiply.org.in/en/guide/introduction-to-savings-new-design/what-are-savings-new-design/
0,Saving: Saving with Efficiency,https://multiply.org.in/en/guide/save-efficiently/way-to-save-efficiently/
0,Saving: Opening a Saving Account,https://multiply.org.in/en/guide/learn-to-open-a-savings-account-online-or-offline-in-easy-steps/how-do-i-open-a-savings-account/
0,Financial Planing and Budgeting: Financial Planing and Budgeting,https://multiply.org.in/en/guide/financial-planning-and-budgeting/what-is-financial-planning/
0,Banking: Introduction to Banking,https://multiply.org.in/en/guide/introduction-to-banking/what-is-a-bank/
0,Banking: Bank Accounts,https://multiply.org.in/en/guide/bank-accounts-new/what-is-a-bank-account/
0,Banking: Saving Account,https://multiply.org.in/en/guide/savings-accounts/what-is-a-savings-account/
0,Banking: Women's Saving Account,https://multiply.org.in/en/guide/womens-savings-account-2/what-is-a-womens-savings-account/
0,Banking: Joint Saving Account,https://multiply.org.in/en/guide/joint-savings-account-2/what-is-joint-savings-account/
0,Banking: Current Account,https://multiply.org.in/en/guide/learn-current-account-2/what-is-a-current-account/
0,Loans: Basics of Borrowing,https://multiply.org.in/en/guide/basics-of-borrowing/what-is-borrowing/
0,Loans: Introduction to Loans,https://multiply.org.in/en/guide/introduction-to-loans-2/what-is-a-loan/
0,Loans: Types of Loans,https://multiply.org.in/en/guide/types-of-loans/different-types-of-loans/
0,Loans: Education Loans,https://multiply.org.in/en/guide/learn-education-loan-india/vidya-lakshmi-portal/
0,Loans: Skill Loans,https://multiply.org.in/en/guide/loans-for-skill-development/what-is-a-skill-loan/
0,Loans: Business Loans (MSME),https://multiply.org.in/en/guide/business-loans-msme/what-is-a-business-loan/
0,Insurance: Introduction to Insurance,https://multiply.org.in/en/guide/introduction-to-insurance/what-is-insurance/
